Blog-ID;Site-Name;Site-URL;Kategorie;Dienst;Quelle
41;"Wasserwacht Vilstal-Kümmersbruck";https://www.wasserwacht-vilstal-kuemmersbruck.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Bayerische Weihnacht 2019"" (ID 30566)"
41;"Wasserwacht Vilstal-Kümmersbruck";https://www.wasserwacht-vilstal-kuemmersbruck.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Donaudurchbruchschwimmen"" (ID 30465)"
41;"Wasserwacht Vilstal-Kümmersbruck";https://www.wasserwacht-vilstal-kuemmersbruck.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Motorbootaus-/fortbildung 08/2018"" (ID 30464)"
41;"Wasserwacht Vilstal-Kümmersbruck";https://www.wasserwacht-vilstal-kuemmersbruck.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_a7734a9eddef89cd203e1d97d4870de6): ""Über Uns"" (ID 29)"
41;"Wasserwacht Vilstal-Kümmersbruck";https://www.wasserwacht-vilstal-kuemmersbruck.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_ff1ee0d76ec328462696efaa75b6f474): ""Über Uns"" (ID 29)"
41;"Wasserwacht Vilstal-Kümmersbruck";https://www.wasserwacht-vilstal-kuemmersbruck.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
42;"Wasserwacht Marktheidenfeld";https://www.wasserwacht-marktheidenfeld.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
43;"Wasserwacht Vohenstrauß";https://www.vohenstrauss.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Content: ""Home"" (ID 29)"
43;"Wasserwacht Vohenstrauß";https://www.vohenstrauss.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_7a7250e894ac763698db617f63d3929d): ""Home"" (ID 29)"
43;"Wasserwacht Vohenstrauß";https://www.vohenstrauss.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_2b2d6d2c3fd44da81761706e74097549): ""Home"" (ID 29)"
43;"Wasserwacht Vohenstrauß";https://www.vohenstrauss.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
45;"Wasserwacht München Nord";https://www.muenchen-nord.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_ff1ee0d76ec328462696efaa75b6f474): ""Willkommen"" (ID 29)"
45;"Wasserwacht München Nord";https://www.muenchen-nord.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_e9f1bac9e6e7eaa0c04d424c8f8e2d3f): ""Willkommen"" (ID 29)"
45;"Wasserwacht München Nord";https://www.muenchen-nord.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_03afab46415cc698bea8da475b5f3e1c): ""Willkommen"" (ID 29)"
45;"Wasserwacht München Nord";https://www.muenchen-nord.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_14db9f6cf97a6afc562cce2946c00369): ""Willkommen"" (ID 29)"
